	masa_B
t	θ
0,000000E0	6,732235E-1
1,664444E-2	6,732235E-1
3,328889E-2	6,732235E-1
4,993333E-2	6,732235E-1
6,657778E-2	6,732235E-1
8,322222E-2	6,732235E-1
9,986667E-2	6,732235E-1
1,165111E-1	6,732235E-1
1,331556E-1	6,732235E-1
1,498000E-1	6,732235E-1
1,664444E-1	3,397718E0
1,830889E-1	6,062054E0
1,997333E-1	7,588150E0
2,163778E-1	9,004944E0
2,330222E-1	1,018487E1
2,496667E-1	1,082413E1
2,663111E-1	1,102925E1
2,829556E-1	1,102925E1
2,996000E-1	1,045420E1
3,162444E-1	9,662435E0
3,328889E-1	8,920300E0
3,495333E-1	6,990071E0
3,661778E-1	4,950011E0
3,828222E-1	2,434401E0
3,994667E-1	7,633409E-1
4,161111E-1	7,633409E-1
4,327556E-1	7,633409E-1
4,494000E-1	7,633409E-1
4,660444E-1	7,633409E-1
4,826889E-1	7,633409E-1
4,993333E-1	7,633409E-1
5,159778E-1	7,633409E-1
5,326222E-1	7,633409E-1
5,492667E-1	7,633409E-1
5,659111E-1	7,633409E-1
5,825556E-1	7,633409E-1
5,992000E-1	7,633409E-1
6,158444E-1	7,633409E-1
6,324889E-1	3,229201E0
6,491333E-1	4,807726E0
6,657778E-1	6,048901E0
6,824222E-1	6,832116E0
6,990667E-1	7,325479E0
7,157111E-1	7,653786E0
7,324667E-1	6,940533E0
7,491111E-1	6,068241E0
7,657556E-1	4,635142E0
7,824000E-1	2,933545E0
7,990444E-1	1,179083E0
8,156889E-1	1,093789E0
8,323333E-1	1,093789E0
8,489778E-1	1,093789E0
8,656222E-1	1,093789E0
8,822667E-1	1,093789E0
8,989111E-1	1,093789E0
9,155556E-1	1,093789E0
9,322000E-1	1,093789E0
9,488444E-1	2,713789E0
9,654889E-1	3,600979E0
9,821333E-1	3,938995E0
9,987778E-1	3,772637E0
1,015422E0	2,856608E0
1,032067E0	1,934886E0
1,048711E0	1,593597E0
1,065356E0	1,593597E0
1,082000E0	1,593597E0
1,098644E0	1,344906E0
1,115289E0	1,344906E0
1,131933E0	1,885023E0
1,148578E0	2,846249E0
1,165222E0	3,097582E0
1,181867E0	3,097582E0
1,198511E0	2,352882E0
1,215156E0	1,809959E0
1,231800E0	1,809959E0
1,248444E0	1,809959E0
1,265089E0	1,809959E0
1,281733E0	1,809959E0
1,298378E0	1,809959E0
1,315022E0	2,814933E0
1,331667E0	2,814933E0
1,348311E0	2,606509E0
1,364956E0	2,356310E0
1,381600E0	2,019630E0
1,398244E0	2,019630E0
1,414889E0	2,019630E0
1,431533E0	2,019630E0
1,448178E0	2,727600E0
1,464822E0	3,143678E0
1,481467E0	2,810840E0
1,498111E0	2,144617E0
1,514867E0	2,144617E0
1,531511E0	2,144617E0
1,548156E0	1,936294E0
1,564800E0	2,311234E0
1,581444E0	2,725618E0
1,598089E0	2,015231E0
1,614733E0	1,844896E0
1,631378E0	1,844896E0
1,648022E0	1,844896E0
1,664667E0	1,844896E0
1,681311E0	1,844896E0
1,697956E0	1,844896E0
1,714600E0	1,844896E0
1,731244E0	1,844896E0
1,747889E0	1,844896E0
1,764533E0	1,844896E0
1,781178E0	1,844896E0
1,797822E0	1,844896E0
1,814467E0	1,844896E0
1,831111E0	1,844896E0
1,847756E0	1,844896E0
1,864400E0	1,844896E0
1,881044E0	1,844896E0
1,897689E0	1,844896E0
1,914333E0	1,844896E0
1,930978E0	1,844896E0
1,947622E0	1,844896E0
1,964267E0	1,844896E0
1,980911E0	1,844896E0
1,997556E0	1,844896E0
2,014200E0	1,844896E0
2,030844E0	1,844896E0
2,047489E0	1,844896E0
2,064133E0	1,844896E0
2,080778E0	1,844896E0
2,097422E0	1,844896E0
2,114067E0	1,844896E0
2,130711E0	1,844896E0
2,147356E0	1,844896E0
2,164000E0	1,844896E0
2,180644E0	1,844896E0
2,197289E0	1,844896E0
2,213933E0	1,844896E0
2,230578E0	1,844896E0
