	masa_A
t	θ
0,000000E0	1,249722E1
1,664444E-2	1,198588E1
3,328889E-2	1,130062E1
4,993333E-2	1,019958E1
6,657778E-2	9,023159E0
8,322222E-2	7,678544E0
9,986667E-2	6,183132E0
1,165111E-1	3,672880E0
1,331556E-1	1,019656E0
1,498000E-1	5,791049E-1
1,664444E-1	4,687492E-1
1,830889E-1	4,687492E-1
1,997333E-1	4,687492E-1
2,163778E-1	4,687492E-1
2,330222E-1	4,687492E-1
2,496667E-1	4,687492E-1
2,663111E-1	4,687492E-1
2,829556E-1	4,687492E-1
2,996000E-1	4,687492E-1
3,162444E-1	4,687492E-1
3,328889E-1	4,687492E-1
3,495333E-1	4,687492E-1
3,662889E-1	4,687492E-1
3,829333E-1	4,687492E-1
3,995778E-1	4,687492E-1
4,162222E-1	9,665178E-1
4,328667E-1	3,177177E0
4,495111E-1	5,011108E0
4,661556E-1	6,593280E0
4,828000E-1	7,715639E0
4,994444E-1	8,352214E0
5,160889E-1	9,167550E0
5,327333E-1	9,386497E0
5,493778E-1	9,103991E0
5,660222E-1	8,429687E0
5,826667E-1	7,631111E0
5,993111E-1	6,794021E0
6,159556E-1	5,346484E0
6,326000E-1	3,020559E0
6,492444E-1	7,475405E-1
6,658889E-1	7,475405E-1
6,825333E-1	7,475405E-1
6,991778E-1	7,475405E-1
7,158222E-1	7,475405E-1
7,324667E-1	7,475405E-1
7,491111E-1	7,475405E-1
7,657556E-1	7,475405E-1
7,824000E-1	7,475405E-1
7,990444E-1	7,475405E-1
8,156889E-1	7,475405E-1
8,323333E-1	7,475405E-1
8,489778E-1	7,475405E-1
8,656222E-1	7,475405E-1
8,822667E-1	1,024574E0
8,989111E-1	3,198734E0
9,155556E-1	4,859920E0
9,322000E-1	6,047215E0
9,488444E-1	6,992400E0
9,654889E-1	7,488195E0
9,821333E-1	7,488195E0
9,987778E-1	7,488195E0
1,015422E0	7,102670E0
1,032067E0	6,145892E0
1,048711E0	4,528248E0
1,065356E0	2,412136E0
1,082000E0	7,468207E-1
1,098644E0	7,468207E-1
