	masa_A
t	θ
0,000000E0	1,567310E1
1,664444E-2	1,535071E1
3,328889E-2	1,527118E1
4,993333E-2	1,495243E1
6,657778E-2	1,443245E1
8,322222E-2	1,358870E1
9,986667E-2	1,285596E1
1,165111E-1	1,139419E1
1,331556E-1	9,756763E0
1,498000E-1	7,546775E0
1,664444E-1	5,194528E0
1,830889E-1	3,733444E0
1,997333E-1	3,604029E0
2,163778E-1	3,604029E0
2,330222E-1	3,604029E0
2,496667E-1	3,604029E0
2,663111E-1	3,604029E0
2,829556E-1	3,604029E0
2,996000E-1	3,604029E0
3,162444E-1	3,604029E0
3,328889E-1	3,604029E0
3,495333E-1	3,604029E0
3,661778E-1	3,604029E0
3,828222E-1	3,604029E0
3,994667E-1	3,604029E0
4,161111E-1	3,604029E0
4,327556E-1	3,604029E0
4,494000E-1	3,604029E0
4,660444E-1	3,604029E0
4,826889E-1	5,389511E0
4,993333E-1	7,090183E0
5,159778E-1	9,355219E0
5,326222E-1	1,014776E1
5,492667E-1	1,088856E1
5,659111E-1	1,188363E1
5,825556E-1	1,197355E1
5,992000E-1	1,169703E1
6,159556E-1	1,105202E1
6,326000E-1	1,031872E1
6,492444E-1	9,546496E0
6,658889E-1	8,031952E0
6,825333E-1	6,052860E0
6,991778E-1	3,978858E0
7,158222E-1	3,096426E0
7,324667E-1	3,096426E0
7,491111E-1	3,096426E0
7,657556E-1	3,096426E0
7,824000E-1	3,096426E0
7,990444E-1	3,096426E0
8,156889E-1	3,096426E0
8,323333E-1	3,096426E0
8,489778E-1	3,096426E0
8,656222E-1	3,096426E0
8,822667E-1	3,096426E0
8,989111E-1	3,096426E0
9,155556E-1	3,096426E0
9,322000E-1	3,676090E0
9,488444E-1	5,715072E0
9,654889E-1	7,157006E0
9,821333E-1	8,261115E0
9,987778E-1	8,754404E0
1,015422E0	9,164483E0
1,032067E0	9,348463E0
1,048711E0	8,754404E0
1,065356E0	8,161062E0
1,082000E0	7,187807E0
1,098644E0	5,452292E0
1,115289E0	3,309734E0
1,131933E0	2,853046E0
1,148578E0	2,853046E0
1,165222E0	2,853046E0
1,181867E0	2,853046E0
1,198511E0	2,853046E0
1,215156E0	2,853046E0
1,231800E0	2,853046E0
1,248444E0	2,853046E0
1,265089E0	2,853046E0
1,281733E0	2,853046E0
1,298378E0	2,853046E0
1,315022E0	3,769382E0
1,331667E0	5,450409E0
1,348311E0	6,565324E0
1,364956E0	7,285817E0
1,381600E0	7,790914E0
1,398244E0	7,790914E0
1,415000E0	7,291088E0
1,431644E0	6,584348E0
1,448289E0	5,499748E0
1,464933E0	3,081831E0
1,481578E0	2,957014E0
1,498222E0	2,957014E0
1,514867E0	2,957014E0
1,531511E0	2,957014E0
1,548156E0	2,957014E0
1,564800E0	2,957014E0
1,581444E0	2,957014E0
1,598089E0	2,957014E0
1,614733E0	2,957014E0
1,631378E0	3,040228E0
1,648022E0	4,334486E0
1,664667E0	5,802222E0
1,681311E0	6,317819E0
1,697956E0	6,363964E0
1,714600E0	6,027029E0
