	masa_B
t	θ
0,000000E0	1,284635E0
1,664444E-2	1,284635E0
3,328889E-2	1,284635E0
5,004444E-2	1,284635E0
6,668889E-2	1,284635E0
8,333333E-2	1,284635E0
9,997778E-2	1,284635E0
1,166222E-1	1,284635E0
1,332667E-1	1,284635E0
1,499111E-1	1,284635E0
1,665556E-1	1,284635E0
1,832000E-1	2,725932E0
1,998444E-1	4,798713E0
2,164889E-1	6,454673E0
2,331333E-1	7,804107E0
2,497778E-1	9,045654E0
2,664222E-1	1,023874E1
2,830667E-1	1,097851E1
2,997111E-1	1,151702E1
3,163556E-1	1,180177E1
3,330000E-1	1,170007E1
3,496444E-1	1,098450E1
3,662889E-1	1,053832E1
3,829333E-1	9,851785E0
3,995778E-1	8,812080E0
4,162222E-1	7,336212E0
4,328667E-1	5,633983E0
4,495111E-1	3,512024E0
4,661556E-1	1,663759E0
4,828000E-1	1,663759E0
4,994444E-1	1,663759E0
5,160889E-1	1,663759E0
5,327333E-1	1,663759E0
5,493778E-1	1,663759E0
5,660222E-1	1,663759E0
5,826667E-1	1,663759E0
5,993111E-1	1,663759E0
6,159556E-1	1,663759E0
6,326000E-1	1,663759E0
6,492444E-1	1,663759E0
6,658889E-1	1,663759E0
6,825333E-1	1,663759E0
6,991778E-1	1,663759E0
7,158222E-1	1,665902E0
7,324667E-1	1,665902E0
7,491111E-1	4,352059E0
7,657556E-1	6,258268E0
7,824000E-1	7,534761E0
7,990444E-1	8,613847E0
8,156889E-1	9,422961E0
8,324444E-1	9,970319E0
8,490889E-1	1,050580E1
8,657333E-1	1,070357E1
8,823778E-1	1,086481E1
8,990222E-1	1,026484E1
9,156667E-1	9,686975E0
9,323111E-1	9,011318E0
9,489556E-1	7,648004E0
9,656000E-1	5,896411E0
9,822444E-1	3,876386E0
9,988889E-1	3,344511E0
1,015533E0	3,344511E0
1,032178E0	3,344511E0
1,048822E0	3,344511E0
1,065467E0	3,344511E0
1,082111E0	3,344511E0
1,098756E0	3,344511E0
1,115400E0	3,344511E0
1,132044E0	3,344511E0
1,148689E0	3,344511E0
1,165333E0	3,344511E0
1,181978E0	3,449478E0
1,198622E0	3,609333E0
