	masa_A
t	θ
0,000000E0	1,117720E1
1,664444E-2	1,045599E1
3,328889E-2	9,463433E0
4,993333E-2	8,222470E0
6,657778E-2	6,759501E0
8,322222E-2	4,572801E0
9,986667E-2	2,150371E0
1,165111E-1	-3,557198E-1
1,331556E-1	-3,557198E-1
1,498000E-1	-3,557198E-1
1,664444E-1	-3,557198E-1
1,832000E-1	-3,557198E-1
1,998444E-1	-3,557198E-1
2,164889E-1	-3,557198E-1
2,331333E-1	-3,557198E-1
2,497778E-1	-3,557198E-1
2,664222E-1	-3,557198E-1
2,830667E-1	-3,557198E-1
2,997111E-1	-3,557198E-1
3,163556E-1	-3,557198E-1
3,330000E-1	-3,557198E-1
3,496444E-1	-3,557198E-1
3,662889E-1	1,598453E0
3,829333E-1	3,523700E0
3,995778E-1	5,771039E0
4,162222E-1	6,948623E0
4,328667E-1	7,975235E0
4,495111E-1	8,509083E0
4,661556E-1	8,874389E0
4,828000E-1	8,910880E0
4,994444E-1	8,326167E0
5,160889E-1	7,353341E0
5,327333E-1	6,512443E0
5,493778E-1	4,594891E0
5,660222E-1	2,002953E0
5,826667E-1	5,266214E-1
5,993111E-1	5,266214E-1
6,159556E-1	5,266214E-1
6,326000E-1	5,266214E-1
6,492444E-1	5,266214E-1
6,658889E-1	5,266214E-1
6,825333E-1	5,266214E-1
6,991778E-1	5,266214E-1
7,158222E-1	5,266214E-1
7,324667E-1	5,266214E-1
7,491111E-1	5,266214E-1
7,657556E-1	5,266214E-1
7,824000E-1	1,007288E0
7,990444E-1	2,983626E0
8,156889E-1	4,859451E0
8,323333E-1	6,229696E0
8,489778E-1	6,994615E0
8,656222E-1	7,585442E0
8,822667E-1	7,585442E0
8,989111E-1	7,216357E0
9,155556E-1	6,422663E0
9,322000E-1	5,338142E0
9,488444E-1	3,610269E0
9,654889E-1	1,063606E0
9,822444E-1	9,575470E-1
9,988889E-1	9,575470E-1
1,015533E0	9,575470E-1
1,032178E0	9,575470E-1
1,048822E0	9,575470E-1
1,065467E0	9,575470E-1
1,082111E0	9,575470E-1
1,098756E0	9,575470E-1
1,115400E0	9,575470E-1
1,132044E0	9,575470E-1
1,148689E0	2,081051E0
1,165333E0	3,777907E0
1,181978E0	5,483100E0
1,198622E0	6,403467E0
1,215267E0	6,735276E0
1,231911E0	6,598768E0
1,248556E0	6,186163E0
1,265200E0	5,356583E0
1,281844E0	3,720033E0
1,298489E0	1,931835E0
1,315133E0	1,795128E0
1,331778E0	1,795128E0
1,348422E0	1,795128E0
1,365067E0	1,795128E0
1,381711E0	1,795128E0
1,398356E0	1,795128E0
1,415000E0	1,795128E0
1,431644E0	1,795128E0
1,448289E0	1,795128E0
1,464933E0	2,821064E0
1,481578E0	4,355923E0
1,498222E0	5,487591E0
1,514867E0	5,853786E0
1,531511E0	5,883367E0
1,548156E0	5,448289E0
1,564800E0	4,617629E0
1,581444E0	3,287161E0
1,598089E0	1,986611E0
1,614733E0	1,986611E0
1,631378E0	1,986611E0
1,648022E0	1,986611E0
1,664667E0	1,986611E0
1,681311E0	1,986611E0
1,697956E0	1,986611E0
1,714600E0	1,986611E0
1,731244E0	2,845888E0
1,747889E0	4,510752E0
1,764533E0	4,950486E0
1,781178E0	5,277301E0
1,797822E0	5,268186E0
1,814467E0	4,604334E0
1,831222E0	3,642114E0
1,847867E0	2,780006E0
1,864511E0	2,780006E0
1,881156E0	2,780006E0
1,897800E0	2,780006E0
1,914444E0	2,780006E0
1,931089E0	2,780006E0
1,947733E0	2,780006E0
1,964378E0	2,977629E0
1,981022E0	3,868210E0
1,997667E0	4,525454E0
2,014311E0	4,752489E0
2,030956E0	4,752489E0
2,047600E0	4,391573E0
2,064244E0	3,436490E0
2,080889E0	2,574907E0
2,097533E0	2,473483E0
2,114178E0	2,473483E0
2,130822E0	2,473483E0
2,147467E0	2,473483E0
2,164111E0	2,473483E0
2,180756E0	2,932886E0
2,197400E0	3,522984E0
2,214044E0	4,208071E0
2,230689E0	4,208071E0
2,247333E0	3,258936E0
2,263978E0	2,600305E0
2,280622E0	2,436465E0
2,297267E0	2,436465E0
2,313911E0	2,436465E0
2,330556E0	2,436465E0
2,347200E0	2,436465E0
2,363844E0	2,798456E0
2,380489E0	3,027813E0
2,397133E0	3,095096E0
2,413778E0	2,900083E0
2,430422E0	2,409208E0
2,447067E0	2,409208E0
2,463711E0	1,722038E0
2,480356E0	1,722038E0
2,497000E0	1,722038E0
2,513644E0	1,722038E0
2,530289E0	2,284354E0
2,546933E0	2,351602E0
2,563689E0	1,592125E0
2,580333E0	1,592125E0
2,596978E0	1,592125E0
2,613622E0	1,592125E0
2,630267E0	1,592125E0
2,646911E0	1,592125E0
2,663556E0	1,692998E0
2,680200E0	1,166042E0
2,696844E0	9,015076E-1
2,713489E0	7,692251E-1
2,730133E0	7,692251E-1
2,746778E0	7,692251E-1
2,763422E0	1,201880E0
2,780067E0	1,269627E0
2,796711E0	1,269627E0
2,813356E0	1,269627E0
2,830000E0	7,055243E-1
2,846644E0	5,721075E-1
2,863289E0	6,715585E-1
2,879933E0	7,047079E-1
2,896578E0	7,047079E-1
2,913222E0	7,047079E-1
2,929867E0	7,047079E-1
