	masa_B
t	θ
0,000000E0	1,099022E-1
1,664444E-2	1,347621E-1
3,328889E-2	1,347621E-1
4,993333E-2	1,347621E-1
6,657778E-2	1,347621E-1
8,322222E-2	1,347621E-1
9,986667E-2	1,347621E-1
1,165111E-1	1,598244E-1
1,331556E-1	2,559410E0
1,498000E-1	5,085353E0
1,664444E-1	6,575026E0
1,832000E-1	8,053236E0
1,998444E-1	9,042229E0
2,164889E-1	9,461140E0
2,331333E-1	1,000028E1
2,497778E-1	9,925070E0
2,664222E-1	9,498109E0
2,830667E-1	8,571510E0
2,997111E-1	7,337236E0
3,163556E-1	6,183397E0
3,330000E-1	3,171742E0
3,496444E-1	4,841415E-1
3,662889E-1	8,532668E-2
3,829333E-1	8,499667E-2
3,995778E-1	8,496016E-2
4,162222E-1	8,496016E-2
4,328667E-1	8,496016E-2
4,495111E-1	8,496016E-2
4,661556E-1	8,496016E-2
4,828000E-1	8,496016E-2
4,994444E-1	8,496016E-2
5,160889E-1	8,496016E-2
5,327333E-1	1,835637E-1
5,493778E-1	3,072536E-1
5,660222E-1	3,072536E-1
5,826667E-1	6,788145E-1
5,993111E-1	3,175876E0
6,159556E-1	5,047123E0
6,326000E-1	6,453641E0
6,492444E-1	7,505106E0
6,658889E-1	7,940281E0
6,825333E-1	8,010507E0
6,991778E-1	7,594285E0
7,158222E-1	6,987705E0
7,324667E-1	6,021502E0
7,491111E-1	4,583128E0
7,657556E-1	2,418845E0
7,824000E-1	9,320832E-1
7,990444E-1	9,316786E-1
8,156889E-1	1,030717E0
8,323333E-1	1,030717E0
8,489778E-1	1,054204E0
8,656222E-1	1,054204E0
8,822667E-1	1,054204E0
8,989111E-1	1,054204E0
9,155556E-1	1,054204E0
9,322000E-1	1,054204E0
9,488444E-1	1,054204E0
9,654889E-1	1,079031E0
9,822444E-1	2,799089E0
9,988889E-1	4,692231E0
1,015533E0	5,593057E0
1,032178E0	6,400896E0
1,048822E0	6,956903E0
1,065467E0	6,981641E0
1,082111E0	6,428435E0
1,098756E0	5,377123E0
1,115400E0	3,885144E0
1,132044E0	1,979320E0
1,148689E0	1,055577E0
1,165333E0	1,154010E0
1,181978E0	1,178846E0
1,198622E0	1,178335E0
1,215267E0	1,178335E0
1,231911E0	1,178335E0
1,248556E0	1,178335E0
1,265200E0	1,178335E0
1,281844E0	1,227985E0
1,298489E0	1,302455E0
1,315133E0	2,776647E0
1,331778E0	4,442341E0
1,348422E0	5,481112E0
1,365067E0	5,933732E0
1,381711E0	6,151770E0
1,398356E0	5,974290E0
1,415000E0	5,037578E0
1,431644E0	3,769050E0
1,448289E0	2,053994E0
1,464933E0	1,667513E0
1,481578E0	1,667513E0
1,498222E0	1,667513E0
1,514867E0	1,667513E0
1,531511E0	1,667513E0
1,548156E0	1,667513E0
1,564800E0	1,667513E0
1,581444E0	1,667513E0
1,598089E0	2,645365E0
1,614733E0	4,220959E0
1,631378E0	4,940018E0
1,648022E0	5,336088E0
1,664667E0	5,410295E0
1,681311E0	4,985232E0
1,697956E0	3,620139E0
1,714600E0	2,371314E0
1,731244E0	1,719894E0
1,747889E0	1,668953E0
1,764533E0	1,668233E0
1,781178E0	1,766338E0
1,797822E0	1,766338E0
1,814467E0	1,766338E0
1,831222E0	1,766338E0
1,847867E0	1,975028E0
1,864511E0	3,775600E0
1,881156E0	4,885395E0
1,897800E0	5,085353E0
1,914444E0	5,085353E0
1,931089E0	4,373498E0
1,947733E0	2,744785E0
1,964378E0	2,157298E0
1,981022E0	2,157298E0
1,997667E0	2,157298E0
2,014311E0	2,157298E0
2,030956E0	2,157298E0
2,047600E0	2,157298E0
2,064244E0	2,157298E0
2,080889E0	3,097935E0
2,097533E0	3,823714E0
2,114178E0	4,296696E0
2,130822E0	4,471423E0
2,147467E0	3,945282E0
2,164111E0	2,585484E0
2,180756E0	1,989698E0
2,197400E0	1,989698E0
2,214044E0	2,014720E0
2,230689E0	2,014720E0
2,247333E0	2,014720E0
2,263978E0	2,014720E0
2,280622E0	2,592264E0
2,297267E0	3,245346E0
2,313911E0	3,370412E0
2,330556E0	3,220329E0
2,347200E0	2,467135E0
2,363844E0	1,963817E0
2,380489E0	1,963817E0
2,397133E0	1,963817E0
2,413778E0	1,963817E0
2,430422E0	1,963817E0
2,447067E0	2,460681E0
2,463711E0	2,887425E0
2,480356E0	2,912392E0
2,497000E0	2,362882E0
2,513644E0	1,883019E0
2,530289E0	1,857272E0
2,546933E0	1,857272E0
2,563689E0	1,857272E0
2,580333E0	1,857272E0
2,596978E0	2,408653E0
2,613622E0	2,511700E0
2,630267E0	1,962959E0
2,646911E0	1,962959E0
2,663556E0	1,962959E0
2,680200E0	1,962959E0
2,696844E0	1,962959E0
2,713489E0	2,163892E0
2,730133E0	2,313914E0
2,746778E0	2,062960E0
2,763422E0	1,937112E0
2,780067E0	1,937112E0
2,796711E0	1,937112E0
2,813356E0	2,211006E0
2,830000E0	2,160119E0
2,846644E0	2,009452E0
2,863289E0	2,009452E0
2,879933E0	2,009452E0
2,896578E0	2,009452E0
2,913222E0	2,009452E0
2,929867E0	2,009452E0
