	masa_A
t	θ
0,000000E0	1,343328E1
1,664444E-2	1,301187E1
3,328889E-2	1,204166E1
4,993333E-2	1,057977E1
6,657778E-2	8,996597E0
8,322222E-2	7,418078E0
9,986667E-2	4,827768E0
1,165111E-1	2,129002E0
1,331556E-1	1,765082E0
1,498000E-1	1,765082E0
1,664444E-1	1,765082E0
1,830889E-1	1,765082E0
1,997333E-1	1,765082E0
2,163778E-1	1,765082E0
2,330222E-1	1,765082E0
2,496667E-1	1,765082E0
2,663111E-1	1,765082E0
2,829556E-1	1,765082E0
2,996000E-1	1,765082E0
3,162444E-1	1,765082E0
3,328889E-1	1,729860E0
3,495333E-1	1,729860E0
3,661778E-1	2,415149E0
3,828222E-1	4,553623E0
3,994667E-1	6,102501E0
4,161111E-1	7,519159E0
4,327556E-1	8,645040E0
4,494000E-1	9,226976E0
4,660444E-1	9,635423E0
4,826889E-1	8,990881E0
4,993333E-1	8,681219E0
5,159778E-1	8,144523E0
5,326222E-1	7,013603E0
5,492667E-1	5,276876E0
5,659111E-1	3,192577E0
5,825556E-1	9,978259E-1
5,993111E-1	1,046212E0
6,159556E-1	1,046212E0
6,326000E-1	1,046212E0
6,492444E-1	1,046212E0
6,658889E-1	1,046212E0
6,825333E-1	1,046212E0
6,991778E-1	1,046212E0
7,158222E-1	1,046212E0
7,324667E-1	1,046212E0
7,491111E-1	1,046212E0
7,657556E-1	1,046212E0
7,824000E-1	1,046212E0
7,990444E-1	2,996186E0
8,156889E-1	4,563227E0
8,323333E-1	5,979800E0
8,489778E-1	6,641837E0
8,656222E-1	7,038784E0
8,822667E-1	7,137917E0
8,989111E-1	7,137917E0
9,155556E-1	6,126062E0
9,322000E-1	4,541067E0
9,488444E-1	3,010591E0
9,654889E-1	9,978259E-1
9,821333E-1	9,978259E-1
9,987778E-1	9,978259E-1
1,015422E0	9,978259E-1
1,032067E0	9,978259E-1
1,048711E0	9,978259E-1
1,065356E0	9,982593E-1
1,082000E0	9,982593E-1
1,098644E0	9,982593E-1
1,115289E0	9,982593E-1
1,131933E0	9,982593E-1
1,148578E0	2,072358E0
1,165222E0	3,425283E0
1,181867E0	4,482493E0
1,198511E0	5,487585E0
1,215156E0	6,039957E0
1,231800E0	6,039957E0
1,248444E0	5,405829E0
1,265089E0	4,168727E0
1,281733E0	2,563791E0
1,298378E0	7,950203E-1
1,315022E0	7,695958E-1
1,331667E0	7,695958E-1
1,348311E0	7,695958E-1
1,364956E0	7,695958E-1
1,381600E0	7,695958E-1
1,398244E0	7,695958E-1
1,414889E0	7,695958E-1
1,431533E0	7,695958E-1
1,448289E0	7,695958E-1
1,464933E0	2,722211E0
1,481578E0	3,953532E0
1,498222E0	5,003350E0
1,514867E0	4,910242E0
1,531511E0	4,507417E0
1,548156E0	3,654311E0
1,564800E0	2,398264E0
1,581444E0	7,739401E-1
1,598089E0	6,744273E-1
1,614733E0	7,736042E-1
1,631378E0	7,736042E-1
1,648022E0	7,736042E-1
1,664667E0	7,736042E-1
1,681311E0	7,736042E-1
1,697956E0	7,736042E-1
1,714600E0	7,984709E-1
1,731244E0	2,319446E0
1,747889E0	2,723396E0
1,764533E0	3,296343E0
1,781178E0	3,371029E0
1,797822E0	2,466594E0
1,814467E0	1,344862E0
1,831111E0	8,474677E-1
1,847756E0	8,180117E-1
1,864400E0	8,180117E-1
1,881044E0	8,180117E-1
1,897689E0	8,180117E-1
1,914333E0	8,180117E-1
1,930978E0	8,180117E-1
1,947622E0	2,158863E0
1,964267E0	2,658502E0
1,980911E0	3,130592E0
1,997556E0	2,932350E0
2,014200E0	2,180795E0
2,030844E0	1,287350E0
2,047489E0	8,401809E-1
2,064133E0	8,401809E-1
2,080778E0	8,401809E-1
2,097422E0	8,401809E-1
2,114067E0	8,401809E-1
2,130711E0	1,659191E0
2,147356E0	2,179853E0
2,164000E0	2,254975E0
2,180644E0	1,958211E0
2,197289E0	1,312047E0
2,213933E0	8,666745E-1
2,230578E0	8,419908E-1
2,247333E0	8,419908E-1
2,263978E0	8,419908E-1
2,280622E0	8,419908E-1
2,297267E0	1,713046E0
2,313911E0	2,010284E0
2,330556E0	2,010284E0
2,347200E0	1,216926E0
2,363844E0	9,435692E-1
2,380489E0	9,435692E-1
2,397133E0	9,435692E-1
2,413778E0	9,435692E-1
2,430422E0	1,316019E0
2,447067E0	1,761830E0
2,463711E0	1,811353E0
2,480356E0	1,216400E0
2,497000E0	9,683262E-1
2,513644E0	8,692962E-1
2,530289E0	8,692962E-1
2,546933E0	8,692962E-1
2,563578E0	1,439874E0
2,580222E0	1,439874E0
2,596867E0	1,068274E0
2,613511E0	7,705940E-1
2,630156E0	7,705940E-1
2,646800E0	7,705940E-1
2,663444E0	1,193701E0
2,680089E0	1,292924E0
2,696733E0	1,144086E0
2,713378E0	8,215544E-1
2,730022E0	8,215544E-1
2,746667E0	8,215544E-1
2,763311E0	8,215544E-1
2,779956E0	8,215544E-1
2,796600E0	8,215544E-1
2,813244E0	8,215544E-1
2,829889E0	8,215544E-1
2,846533E0	8,215544E-1
2,863178E0	8,215544E-1
2,879822E0	8,215544E-1
2,896467E0	8,215544E-1
2,913111E0	8,215544E-1
2,929756E0	8,215544E-1
2,946400E0	8,215544E-1
2,963044E0	8,215544E-1
2,979800E0	8,215544E-1
2,996444E0	8,215544E-1
3,013089E0	8,215544E-1
3,029733E0	8,215544E-1
3,046378E0	8,215544E-1
3,063022E0	8,215544E-1
3,079667E0	8,215544E-1
