	masa_B
t	θ
0,000000E0	2,033902E0
1,664444E-2	2,033902E0
3,328889E-2	2,033902E0
4,993333E-2	2,033902E0
6,657778E-2	2,033902E0
8,322222E-2	2,033902E0
9,986667E-2	2,033902E0
1,165111E-1	2,033902E0
1,331556E-1	3,744384E0
1,498000E-1	6,048178E0
1,664444E-1	7,950360E0
1,830889E-1	9,371853E0
1,997333E-1	1,025355E1
2,163778E-1	1,083199E1
2,330222E-1	1,106650E1
2,496667E-1	1,128561E1
2,663111E-1	1,094462E1
2,829556E-1	1,010892E1
2,996000E-1	9,050071E0
3,162444E-1	7,712661E0
3,328889E-1	5,769885E0
3,495333E-1	2,881001E0
3,661778E-1	1,549508E0
3,828222E-1	1,549508E0
3,994667E-1	1,549508E0
4,161111E-1	1,549508E0
4,327556E-1	1,549508E0
4,494000E-1	1,549508E0
4,660444E-1	1,549508E0
4,826889E-1	1,549508E0
4,993333E-1	1,549508E0
5,159778E-1	1,549508E0
5,326222E-1	1,549508E0
5,492667E-1	1,549508E0
5,659111E-1	1,549508E0
5,825556E-1	1,549508E0
5,993111E-1	3,407634E0
6,159556E-1	5,232911E0
6,326000E-1	6,485884E0
6,492444E-1	7,532194E0
6,658889E-1	8,330449E0
6,825333E-1	8,742379E0
6,991778E-1	8,668587E0
7,158222E-1	8,003186E0
7,324667E-1	6,626751E0
7,491111E-1	5,586705E0
7,657556E-1	3,612050E0
7,824000E-1	1,298549E0
7,990444E-1	1,298549E0
8,156889E-1	1,298549E0
8,323333E-1	1,298549E0
8,489778E-1	1,298549E0
8,656222E-1	1,298549E0
8,822667E-1	1,298549E0
8,989111E-1	1,298549E0
9,155556E-1	1,298549E0
9,322000E-1	1,298549E0
9,488444E-1	1,298549E0
9,654889E-1	1,298549E0
9,821333E-1	2,704876E0
9,987778E-1	4,396780E0
1,015422E0	5,408184E0
1,032067E0	6,378939E0
1,048711E0	6,702521E0
1,065356E0	6,702521E0
1,082000E0	6,298707E0
1,098644E0	5,296552E0
1,115289E0	3,903896E0
1,131933E0	1,899993E0
1,148578E0	1,399008E0
1,165222E0	1,246990E0
1,181867E0	1,271369E0
1,198511E0	1,271369E0
1,215156E0	1,271369E0
1,231800E0	1,271369E0
1,248444E0	1,271369E0
1,265089E0	1,271369E0
1,281733E0	1,271369E0
1,298378E0	1,271369E0
1,315022E0	2,751285E0
1,331667E0	4,178227E0
1,348311E0	5,176342E0
1,364956E0	5,429673E0
1,381600E0	5,479413E0
1,398244E0	5,171839E0
1,414889E0	4,195842E0
1,431533E0	2,520985E0
1,448289E0	1,226328E0
1,464933E0	1,021251E0
1,481578E0	1,020808E0
1,498222E0	1,020808E0
1,514867E0	1,020808E0
1,531511E0	1,020808E0
1,548156E0	1,020808E0
1,564800E0	1,020808E0
1,581444E0	1,020808E0
1,598089E0	2,376574E0
1,614733E0	3,557593E0
1,631378E0	3,976998E0
1,648022E0	4,352963E0
1,664667E0	4,075004E0
1,681311E0	3,370825E0
1,697956E0	1,786037E0
1,714600E0	1,064579E0
1,731244E0	7,424523E-1
1,747889E0	7,424523E-1
1,764533E0	7,424523E-1
1,781178E0	7,424523E-1
1,797822E0	7,678611E-1
1,814467E0	8,177476E-1
1,831111E0	1,495634E0
1,847756E0	2,505875E0
1,864400E0	3,261904E0
1,881044E0	3,178443E0
1,897689E0	2,801229E0
1,914333E0	2,126651E0
1,930978E0	1,048890E0
1,947622E0	1,048890E0
1,964267E0	1,048890E0
1,980911E0	1,048890E0
1,997556E0	1,048890E0
2,014200E0	1,048890E0
2,030844E0	1,048890E0
2,047489E0	1,963658E0
2,064133E0	2,338844E0
2,080778E0	2,412086E0
2,097422E0	2,357759E0
2,114067E0	1,480376E0
2,130711E0	1,253537E0
2,147356E0	1,253537E0
2,164000E0	1,253537E0
2,180644E0	1,253537E0
2,197289E0	1,253537E0
2,213933E0	1,805574E0
2,230578E0	2,231500E0
2,247333E0	2,280596E0
2,263978E0	1,879931E0
2,280622E0	1,353192E0
2,297267E0	1,202358E0
2,313911E0	1,202358E0
2,330556E0	1,202358E0
2,347200E0	1,202358E0
2,363844E0	1,653027E0
2,380489E0	2,103491E0
2,397133E0	2,153527E0
2,413778E0	1,928338E0
2,430422E0	1,427091E0
2,447067E0	1,427091E0
2,463711E0	1,427091E0
2,480356E0	1,427091E0
2,497000E0	1,827436E0
2,513644E0	2,102572E0
2,530289E0	1,978385E0
2,546933E0	1,502824E0
2,563578E0	1,277482E0
2,580222E0	1,277482E0
2,596867E0	1,277482E0
2,613511E0	1,627994E0
2,630156E0	1,703089E0
2,646800E0	1,227400E0
2,663444E0	1,152274E0
2,680089E0	1,152274E0
2,696733E0	1,152274E0
2,713378E0	1,152274E0
2,730022E0	1,152274E0
2,746667E0	1,152274E0
2,763311E0	1,152274E0
2,779956E0	1,152274E0
2,796600E0	1,152274E0
2,813244E0	1,152274E0
2,829889E0	1,152274E0
2,846533E0	1,152274E0
2,863178E0	1,152274E0
2,879822E0	1,152274E0
2,896467E0	1,152274E0
2,913111E0	1,152274E0
2,929756E0	1,152274E0
2,946400E0	1,152274E0
2,963044E0	1,152274E0
2,979800E0	1,152274E0
2,996444E0	1,152274E0
3,013089E0	1,152274E0
3,029733E0	1,152274E0
3,046378E0	1,152274E0
3,063022E0	1,152274E0
3,079667E0	1,152274E0
